method,inference_nstep,start,iteration,elapsed_seconds,pseudo_loglik,complete_pseudologlik,score_norm,minimum_ess,maximum_invalid_fraction,unique_initial_ancestors,accepted_step_size,backtrack_count,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS order-1.5 block Gaussian,20,0,0,6.611065349017736,-6230.759840064467,28017.864725996402,48646.181952200976,8.9393392887343,-2.0816681711721685e-17,1,0.05,0,12.204439319925953,0.40694085741223185,15.776105071350697,-0.009654575819763804,1.285275956517952,0.4046354317852725,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.30016229191247606,0.12847598067816407,0.16178485054093503,0.1308026974351881,0.27877417943323657,2.501799764233874,-0.899087417582029,2.7584964580403506,-0.9654575819763804,0.25097344744528827,-0.904768785701927,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.0,-0.8485813353537146,-0.6180559319568264,-0.8306332400209862,-0.07392124005080869
DS order-1.5 block Gaussian,20,0,1,10.324214861029759,-6027.653079517088,27953.133861168713,49858.377923719134,4.142685428276725,-2.0816681711721685e-17,1,0.05,0,12.830174304401394,0.38709411760564255,15.00669534800602,-0.01,1.3511734614633641,0.42538153395536515,2.0019699920033047,5.107343477865838,-2.2794251452121688,4.812077689147179,4.950225610888597,2.8120006295681637,-3.809438236946092,-2.402750473528848,-0.5765467841199949,-6.402280420327769,-6.6609660934058885,-9.471106145737629,0.29120152608372885,0.12464057805506404,0.17346218426620835,0.1402437952005426,0.2704519163944563,2.5517997642251586,-0.9490874175727855,2.7084964580485003,-1.0,0.30097344560170103,-0.8547687858197605,2.0019699920033047,5.107343477865838,-2.2794251452121688,4.812077689147179,4.950225610888597,2.8120006295681637,-3.809438236946092,-2.402750473528848,-0.5765467841199949,-6.402280420327769,-6.6609660934058885,-9.471106145737629,0.0,-0.8485813370718921,-0.5180559394701901,-0.7306332545511492,-0.0739212327412804
DS order-1.5 block Gaussian,20,0,2,13.409562989021651,-5843.480910878286,27970.467040306525,21891.68124945152,10.2823311130015,0.00999999999999998,1,0.05,0,13.482753849873141,0.3683196650607805,14.274331653302948,-0.01,1.4183338007323263,0.44694520983810626,1.9519636513573606,5.057446119731679,-2.329456707802889,4.7642193612103325,4.905453199777655,2.7619575872754423,-3.8589416974929254,-2.45268014215032,-0.6265281757294833,-6.452326636707877,-6.711020567418375,-9.520336562293723,0.2913333957496728,0.1251079283198293,0.17185894922321449,0.13793044446635647,0.27376928224092684,2.601411376153103,-0.9988040628191985,2.658462935062681,-1.0,0.34948280289817907,-0.8053192649503743,1.9519636513573606,5.057446119731679,-2.329456707802889,4.7642193612103325,4.905453199777655,2.7619575872754423,-3.8589416974929254,-2.45268014215032,-0.6265281757294833,-6.452326636707877,-6.711020567418375,-9.520336562293723,0.0,-0.8452915099084823,-0.5277942235087321,-0.7477187687436421,-0.062182585171239944
DS order-1.5 block Gaussian,20,0,3,16.778552281029988,-5648.407555120052,28031.421719751674,18975.562515184934,6.283803523837474,0.00999999999999998,1,0.05,0,14.171931590741217,0.3503741374409266,13.616132566894002,-0.01,1.4858769843884296,0.46945024791393425,1.9040867573028264,5.00878006345261,-2.377121234824699,4.718691112351234,4.862768593855668,2.7165946483466406,-3.9065799966224835,-2.4990189741086684,-0.6725901606287945,-6.498003736133688,-6.753819199348686,-9.56670316681383,0.28750811869021553,0.12309913972246628,0.17551298444842295,0.14126543713562378,0.2726143200032714,2.6512633599199704,-1.0487537313170494,2.6112553078951093,-1.0,0.39600515981935264,-0.7561929541832814,1.9040867573028264,5.00878006345261,-2.377121234824699,4.718691112351234,4.862768593855668,2.7165946483466406,-3.9065799966224835,-2.4990189741086684,-0.6725901606287945,-6.498003736133688,-6.753819199348686,-9.56670316681383,0.0,-0.8482610540398227,-0.4935380731309524,-0.7106104452505467,-0.05319304968524696
DS order-1.5 block Gaussian,20,0,4,20.117062036995776,-5498.21439815705,28206.159626071978,45706.176120926844,5.648562077325714,0.00999999999999998,1,0.05,0,14.557950349693522,0.3423540281370463,13.434210767740218,-0.01,1.5523203522861686,0.4933347724076074,1.855279856828447,4.959534612919606,-2.4256825101005077,4.6714793480742225,4.818862388576794,2.66953610047906,-3.9549347065840394,-2.546454924693081,-0.719497115817766,-6.544019723698438,-6.799067988146318,-9.614373405485727,0.28682647460845095,0.12482965368299986,0.17151850027087903,0.13809791072736075,0.2787274607103094,2.678137260173251,-1.071909907347156,2.5978044958492026,-1.0,0.4397508130164075,-0.7065672838538931,1.855279856828447,4.959534612919606,-2.4256825101005077,4.6714793480742225,4.818862388576794,2.66953610047906,-3.9549347065840394,-2.546454924693081,-0.719497115817766,-6.544019723698438,-6.799067988146318,-9.614373405485727,0.0,-0.8319273774653247,-0.5141862807276997,-0.7309144832085523,-0.02864295374861775
DS order-1.5 block Gaussian,20,0,5,23.28257856599521,-5364.276702617459,28400.55337708787,51895.14120624891,2.021959793104895,0.00999999999999998,1,0.05,0,15.017554603497222,0.3327788817021455,13.11468115241524,-0.01,1.62269545242971,0.5,1.8107117187427262,4.914656837969766,-2.4721032617474474,4.623941343034308,4.773082908561839,2.6230154683537914,-3.996033721158083,-2.591193792890727,-0.7658293851311819,-6.590088097687747,-6.844822590545599,-9.65472593151148,0.28589076570843347,0.12674760090881657,0.16691713236262462,0.13455373531169204,0.28589076570843347,2.7092198237267278,-1.1002770284723693,2.5737323013508093,-1.0,0.48408862608805825,-0.6931471805599453,1.8107117187427262,4.914656837969766,-2.4721032617474474,4.623941343034308,4.773082908561839,2.6230154683537914,-3.996033721158083,-2.591193792890727,-0.7658293851311819,-6.590088097687747,-6.844822590545599,-9.65472593151148,0.0,-0.8134120852294568,-0.538112323915838,-0.7536461614790781,0.0
DS order-1.5 block Gaussian,20,0,6,26.688839121023193,-5254.0919132250365,28647.08570230544,10014.188703745647,1.164290421892683,0.01999999999999998,1,0.05,0,15.257892284170689,0.3284773264452251,13.029023887551038,-0.01,1.6948869271644778,0.5,1.7696512672679494,4.873828071312827,-2.516187319884398,4.578330651530401,4.729030770058476,2.5786595976787807,-4.031966851749304,-2.634411238738117,-0.810750023200531,-6.634764545719149,-6.89083479923596,-9.689588536028202,0.2875290614379551,0.13099477574033258,0.16260583942391316,0.1313412619598441,0.2875290614379551,2.725096896013461,-1.1132874649152862,2.5671794756331163,-1.0,0.5276160289697505,-0.6931471805599453,1.7696512672679494,4.873828071312827,-2.516187319884398,4.578330651530401,4.729030770058476,2.5786595976787807,-4.031966851749304,-2.634411238738117,-0.810750023200531,-6.634764545719149,-6.89083479923596,-9.689588536028202,0.0,-0.786166495830149,-0.5699948291062343,-0.7835249493310551,0.0
DS order-1.5 block Gaussian,20,0,7,30.042557108041365,-5111.254924963917,29249.455432002625,7646.197716630599,1.078624892973065,0.029999999999999978,1,0.05,0,15.506674597613845,0.32446228675801,12.799898120371196,-0.01,1.7668487543230875,0.5,1.728373381917468,4.843976113012392,-2.560967025614585,4.535385223006421,4.685722319048559,2.5327711073409724,-4.042130490766576,-2.6798461987620903,-0.8535637608110458,-6.675042874540945,-6.927112585675472,-9.729179594735154,0.28517270982808407,0.12973096441779824,0.16611989308920064,0.134082750435838,0.284893682229079,2.7412705504362544,-1.1255859691358898,2.5494372115478954,-1.0,0.5691975950635416,-0.6931471805599453,1.728373381917468,4.843976113012392,-2.560967025614585,4.535385223006421,4.685722319048559,2.5327711073409724,-4.042130490766576,-2.6798461987620903,-0.8535637608110458,-6.675042874540945,-6.927112585675472,-9.729179594735154,0.0,-0.7876321945282875,-0.5403852209353289,-0.7546378462047941,-0.000978930262073156
DS order-1.5 block Gaussian,20,0,8,33.279634259000886,-5020.466873242013,29279.599262850774,13608.480870184276,1.0056138957529666,0.029999999999999978,1,0.05,0,15.832239919608087,0.3192772317296141,12.491419534979595,-0.01,1.8448538021149925,0.5,1.686038949364684,4.819283237334678,-2.6072203171112145,4.492153642296454,4.642976003290737,2.486641083070465,-4.027881110726194,-2.726627151437326,-0.8983192311630108,-6.717092920079021,-6.964931429680209,-9.765881509303835,0.28332310446708436,0.12903360592641464,0.16675776242413123,0.13548798497550757,0.2853975422068622,2.7620483622789296,-1.141695488632497,2.525041971400736,-1.0,0.6124000343067577,-0.6931471805599453,1.686038949364684,4.819283237334678,-2.6072203171112145,4.492153642296454,4.642976003290737,2.486641083070465,-4.027881110726194,-2.726627151437326,-0.8983192311630108,-6.717092920079021,-6.964931429680209,-9.765881509303835,-0.007295134973063531,-0.7938102117647121,-0.5373408582753394,-0.7450001286360385,0.0
DS order-1.5 block Gaussian,20,0,9,36.686356238031294,-4917.044232389271,29551.689754971183,8492.64875265043,1.0501656730261288,0.04999999999999998,1,0.05,0,16.176478472827487,0.31379722469016325,12.37188076946119,-0.01,1.9303811411917169,0.5,1.6495281811443308,4.801876417960978,-2.6530155543116503,4.447751854770543,4.598561140833762,2.4408577852477977,-4.003417959870738,-2.7709915212382024,-0.9442026706362368,-6.760671041497276,-7.004691085130675,-9.768821661509335,0.2794157141419651,0.12741356312718735,0.1693002474345767,0.1385340416977383,0.2853364335985325,2.78355824102139,-1.1590082829219224,2.5154262176490976,-1.0,0.6577174659024504,-0.6931471805599453,1.6495281811443308,4.801876417960978,-2.6530155543116503,4.447751854770543,4.598561140833762,2.4408577852477977,-4.003417959870738,-2.7709915212382024,-0.9442026706362368,-6.760671041497276,-7.004691085130675,-9.768821661509335,-0.020968265133571737,-0.8062307543915918,-0.5219952021764851,-0.722552868972333,0.0
