method,inference_nstep,start,iteration,elapsed_seconds,pseudo_loglik,complete_pseudologlik,score_norm,minimum_ess,maximum_invalid_fraction,unique_initial_ancestors,accepted_step_size,backtrack_count,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS order-1.5 block Gaussian,20,0,0,8.547523556975648,-6230.911698240044,27986.359705230567,79496.75563204534,11.93259536034336,-2.0816681711721685e-17,1,0.05,0,12.204439319925953,0.40694085741223185,15.776105071350697,-0.009654575819763804,1.285275956517952,0.4046354317852725,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.30016229191247606,0.12847598067816407,0.16178485054093503,0.1308026974351881,0.27877417943323657,2.501799764233874,-0.899087417582029,2.7584964580403506,-0.9654575819763804,0.25097344744528827,-0.904768785701927,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.0,-0.8485813353537146,-0.6180559319568264,-0.8306332400209862,-0.07392124005080869
DS order-1.5 block Gaussian,20,0,1,14.316887666995171,-6018.921232216139,28049.210582997966,16959.463805328916,3.483273693893572,0.01999999999999998,1,0.05,0,12.830174304381611,0.3870941176060817,15.006695347986831,-0.01,1.3511734619215825,0.42538153392314904,2.00196999232656,5.107343478251486,-2.2794251442011166,4.812077688853962,4.950225609763105,2.812000630410095,-3.80943823586296,-2.4027504723565065,-0.5765467830410934,-6.4022804172364065,-6.66096602631133,-9.47110612831707,0.2912015249657623,0.1246405819391238,0.17346218274035038,0.14024379348862542,0.2704519168661381,2.5517997642236168,-0.949087417571651,2.7084964580472217,-1.0,0.3009734459408272,-0.854768785895495,2.00196999232656,5.107343478251486,-2.2794251442011166,4.812077688853962,4.950225609763105,2.812000630410095,-3.80943823586296,-2.4027504723565065,-0.5765467830410934,-6.4022804172364065,-6.66096602631133,-9.47110612831707,0.0,-0.848581302070661,-0.5180559444275269,-0.7306332629187213,-0.0739212271580788
DS order-1.5 block Gaussian,20,0,2,19.95226232399,-5871.432860664585,27880.791611553195,52039.61635236633,6.245926079955746,0.04999999999999998,1,0.05,0,13.328290242726677,0.3721381745278731,14.27730499642239,-0.01,1.4128230810103506,0.444711857995802,1.9583393338444475,5.062932855809241,-2.3238524494147272,4.767906176352893,4.908190538092158,2.770711509911258,-3.852977791039208,-2.4472996627163,-0.6208105799311656,-6.445406896602593,-6.702857501565132,-9.513578185115517,0.2839512506066343,0.12167944856623975,0.18276140523575127,0.1478045695773153,0.26380332601405926,2.58988886210264,-0.9884900567717151,2.658671213359766,-1.0,0.3455898878025914,-0.8103287166629067,1.9583393338444475,5.062932855809241,-2.3238524494147272,4.767906176352893,4.908190538092158,2.770711509911258,-3.852977791039208,-2.4472996627163,-0.6208105799311656,-6.445406896602593,-6.702857501565132,-9.513578185115517,0.0,-0.8474124545285058,-0.44062106500034826,-0.6529116452949272,-0.07359872234021853
DS order-1.5 block Gaussian,20,0,3,25.494217070983723,-5766.268998546428,27894.00916837968,18405.215527242108,12.382024643135525,0.01999999999999998,1,0.05,0,13.280737412799448,0.37347460864764087,14.004672433412676,-0.01,1.4740793136272918,0.4635758889440279,1.918229630059728,5.020836836664137,-2.3661072367200604,4.729770190515203,4.871053905259603,2.7325141369063277,-3.8911855566721476,-2.4896122880357314,-0.6638968819152208,-6.487696073406444,-6.742901021472609,-9.550278325739221,0.2778894818458595,0.11891885267463628,0.19070495316559685,0.15425396002470837,0.258232752289199,2.586314670578909,-0.9849052589219244,2.6393910191784657,-1.0,0.38803360075052157,-0.7687851771864748,1.918229630059728,5.020836836664137,-2.3661072367200604,4.729770190515203,4.871053905259603,2.7325141369063277,-3.8911855566721476,-2.4896122880357314,-0.6638968819152208,-6.487696073406444,-6.742901021472609,-9.550278325739221,0.0,-0.8487821371229225,-0.3764960014612323,-0.5886231521051591,-0.07336216843758182
DS order-1.5 block Gaussian,20,0,4,31.211105809023138,-5693.744319740586,28030.29224016668,63506.453103559244,5.916283218741095,0.01999999999999998,1,0.05,0,12.986777115264735,0.3816333177376396,13.720867809423595,-0.01,1.54105167516332,0.484569092288052,1.8746987036239855,4.975777548460518,-2.411293137594163,4.68713017012159,4.829441340348458,2.690831180097658,-3.9338639288737034,-2.5343461617963383,-0.7091199519718063,-6.532816012025091,-6.7866978877800435,-9.591688306851843,0.2779131679063652,0.12004621459672375,0.18866404848082108,0.15230834716614147,0.26106822184994855,2.5639316948389044,-0.9632950325861296,2.6189178717131667,-1.0,0.432465089301583,-0.7244952524767947,1.8746987036239855,4.975777548460518,-2.411293137594163,4.68713017012159,4.829441340348458,2.690831180097658,-3.9338639288737034,-2.5343461617963383,-0.7091199519718063,-6.532816012025091,-6.7866978877800435,-9.591688306851843,0.0,-0.8394319289589078,-0.38734080711136776,-0.6014016534465373,-0.06252695967452385
DS order-1.5 block Gaussian,20,0,5,37.11325172800571,-5633.084071804036,28154.64487722204,7657.19741061577,3.100608122583182,0.01999999999999998,1,0.05,0,12.626132245973293,0.3925856916067063,13.69120264874836,-0.01,1.6118544392596514,0.5,1.8345851390956398,4.934632532663181,-2.4539061244752904,4.646050316639753,4.788995861339733,2.650884146890427,-3.973058599665625,-2.5768887676395953,-0.7526901195453868,-6.57639598735902,-6.829621947349526,-9.630329349216467,0.2778103443551647,0.1220598897759394,0.18523404939267388,0.14925704099939438,0.2656386754768277,2.535768653989527,-0.93500044302372,2.6167534841451996,-1.0,0.47738534178128367,-0.6931471805599453,1.8345851390956398,4.934632532663181,-2.4539061244752904,4.646050316639753,4.788995861339733,2.650884146890427,-3.973058599665625,-2.5768887676395953,-0.7526901195453868,-6.57639598735902,-6.829621947349526,-9.630329349216467,0.0,-0.8224268422424832,-0.4053185090009847,-0.6212687392913276,-0.044801643825156605
DS order-1.5 block Gaussian,20,0,6,43.04447882901877,-5546.988578652448,28487.3381473503,52460.35729625691,4.978087838791161,0.059999999999999984,1,0.05,0,12.519007278908338,0.3972827303734167,13.793282094635735,-0.01,1.6696300508158046,0.5,1.7923346495493515,4.8906041944101215,-2.4963409647823203,4.606661609681291,4.747419846734025,2.609435031550329,-4.015505734238607,-2.620737425003703,-0.7947145166873086,-6.618079147746811,-6.867427167044916,-9.670065349322014,0.27732533161934675,0.1255386870598382,0.17938217580319107,0.14444383502710137,0.2733099704905227,2.5272480717062513,-0.9231070845782153,2.624181668898724,-1.0,0.5126020754304518,-0.6931471805599453,1.7923346495493515,4.8906041944101215,-2.4963409647823203,4.606661609681291,4.747419846734025,2.609435031550329,-4.015505734238607,-2.620737425003703,-0.7947145166873086,-6.618079147746811,-6.867427167044916,-9.670065349322014,0.0,-0.7925773249093394,-0.43567270921132806,-0.6523005523414119,-0.014584725280842661
DS order-1.5 block Gaussian,20,0,7,48.74819819297409,-5468.886865901831,28822.35361261805,73670.60843208316,3.768369701266821,0.06999999999999998,1,0.05,0,12.297697383244468,0.4056910049815801,13.97450345754457,-0.01,1.7263104996548209,0.5,1.7530356323109304,4.849143271247772,-2.536299682644827,4.568956833389233,4.707273480953138,2.570631100507892,-4.054276473428249,-2.6623137636675778,-0.8346733973508313,-6.65784467709374,-6.904159922766215,-9.706941570589128,0.2777167070321043,0.12908068399048087,0.17486288671575137,0.14062301522955925,0.2777167070321043,2.50941204023913,-0.9021634806162683,2.6372344876438887,-1.0,0.5459864719946212,-0.6931471805599453,1.7530356323109304,4.849143271247772,-2.536299682644827,4.568956833389233,4.707273480953138,2.570631100507892,-4.054276473428249,-2.6623137636675778,-0.8346733973508313,-6.65784467709374,-6.904159922766215,-9.706941570589128,0.0,-0.7661638885287332,-0.4625993923220271,-0.6805188957281161,0.0
DS order-1.5 block Gaussian,20,0,8,54.399474563018885,-5399.308376117522,29138.280960724427,27043.951894453374,1.8879607465711827,0.09999999999999998,1,0.05,0,12.010755845525157,0.4165398500534988,14.246231581506377,-0.01,1.7826770875927398,0.5,1.7172844723967136,4.811950255988512,-2.573365654731399,4.53322950849933,4.668951830384516,2.5345577279577194,-4.089683529284251,-2.7010627131943346,-0.8722996595711243,-6.695742348599409,-6.940396661552165,-9.741254775061144,0.27898716864552087,0.1327889564378487,0.1714567452358952,0.1377799610352143,0.27898716864552087,2.4858025687931167,-0.8757731435523688,2.656492421320876,-1.0,0.5781162162497553,-0.6931471805599453,1.7172844723967136,4.811950255988512,-2.573365654731399,4.53322950849933,4.668951830384516,2.5345577279577194,-4.089683529284251,-2.7010627131943346,-0.8722996595711243,-6.695742348599409,-6.940396661552165,-9.741254775061144,0.0,-0.7424047160150692,-0.48683476981927903,-0.7055078628852802,0.0
DS order-1.5 block Gaussian,20,0,9,60.08691432897467,-5377.8762024712505,29339.003387262426,5248.389263931564,2.832724315322729,0.07999999999999999,1,0.05,0,11.66623907698427,0.429822931486716,14.552091652885133,-0.01,1.8463198777741232,0.5,1.6828254431692098,4.775374363162559,-2.6104043523465865,4.496412315431983,4.62913061031276,2.498339933249125,-4.12499219577866,-2.740563913876168,-0.9111044181542921,-6.735827531933679,-6.980482044661451,-9.77461727357237,0.2801093536564087,0.13615181169545418,0.16840638996337048,0.135223091028358,0.2801093536564087,2.456699121605451,-0.8443819423423724,2.677734739497604,-1.0,0.6131944026369244,-0.6931471805599453,1.6828254431692098,4.775374363162559,-2.6104043523465865,4.496412315431983,4.62913061031276,2.498339933249125,-4.12499219577866,-2.740563913876168,-0.9111044181542921,-6.735827531933679,-6.980482044661451,-9.77461727357237,0.0,-0.7214095500528882,-0.5088000294588334,-0.7282541350423162,0.0
